Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4502734241792,135789886,0.3,0.04,-2.21,-0.84,6.2,2.6,8.41,73.8,65.8,749.67,727.88,3509.33
2,GOOG,Alphabet Inc.,4016661331968,23816336,0.06,1.09,3.19,6.03,9.54,3.96,44.2,106.63,95.67,252.87,130.46,525.23
2,AMZN,"Amazon.com, Inc.",2634817470464,33138175,0.13,-0.37,2.03,6.78,8.69,7.55,9.06,32.13,34.54,147.61,42.03,167.02
3,TSM,Taiwan Semiconductor Manufactur,1720726585344,12038857,0.07,2.52,4.11,9.17,16.54,14.73,44.22,104.0,111.58,261.7,200.87,723.96
4,META,"Meta Platforms, Inc.",1618102976512,14476714,0.09,-1.7,-1.04,-2.75,-3.38,1.4,-12.77,20.68,38.53,260.28,70.4,331.75
5,TSLA,"Tesla, Inc.",1493159772160,60318716,0.4,0.89,4.07,-0.17,-7.12,5.25,34.38,73.0,93.43,130.66,83.07,1475.19
6,PLTR,Palantir Technologies Inc.,427612307456,34839250,0.81,1.08,-1.25,0.93,-3.38,8.23,15.82,66.46,562.52,2257.56,581.13,
7,BABA,Alibaba Group Holding Limited,397035929600,34950776,0.88,10.17,13.33,13.46,12.89,5.53,21.88,41.77,115.11,67.11,4.87,-3.41
8,AMD,"Advanced Micro Devices, Inc.",338127978496,26997366,0.8,2.22,-1.11,-3.02,3.3,-3.06,28.1,119.85,48.62,149.84,87.58,424.34
9,SHOP,Shopify Inc.,218618478592,5580422,0.26,2.1,0.71,4.32,0.68,5.39,19.76,76.55,180.49,244.83,10.13,385.26
10,DE,Deere & Company,132718395392,1308963,0.1,0.54,3.27,5.41,3.66,4.8,5.25,6.72,33.0,23.22,37.87,377.32
11,HOOD,"Robinhood Markets, Inc.",105672671232,16988737,1.61,1.95,0.47,3.91,0.31,-8.33,16.56,144.07,454.86,1084.68,165.16,
12,ABNB,"Airbnb, Inc.",84800757760,3368065,0.4,-0.55,1.07,2.06,3.37,18.65,10.9,13.8,-1.27,18.97,-10.63,
13,COIN,"Coinbase Global, Inc. - 3",65521401856,5913403,0.9,0.91,-1.2,7.45,1.58,-8.3,-19.63,19.18,3.75,330.82,-6.19,
14,RBLX,Roblox Corporation,53851725824,11528774,2.14,4.71,0.39,-5.32,-8.57,-17.27,-42.51,16.79,89.11,122.83,-6.5,
15,BIDU,"Baidu, Inc.",53078687744,4852039,0.91,6.07,3.71,16.53,26.37,30.88,57.95,70.12,68.24,3.68,-3.03,71.73
16,CRWV,"CoreWeave, Inc.",44813692928,42899190,9.57,12.22,16.52,25.58,32.88,21.05,0.06,115.3,,,,
17,XYZ,"Block, Inc.",42829373440,4306663,1.01,1.02,-1.69,7.94,9.12,8.04,-7.3,22.19,15.67,-8.54,-73.79,84.46
18,TER,"Teradyne, Inc.",35689738240,2390588,0.67,3.27,0.85,15.91,17.81,25.08,87.88,191.2,76.5,112.88,88.08,418.82
19,SOFI,"SoFi Technologies, Inc.",33613295616,48743949,14.5,-2.92,-1.48,1.6,1.18,-6.63,8.62,116.08,262.89,293.49,87.59,
20,NTRA,"Natera, Inc.",32833294336,1737485,0.53,0.49,-7.45,2.78,4.77,-0.7,40.54,52.41,126.9,451.41,98.81,838.05
21,ILMN,"Illumina, Inc.",22371035136,1648507,0.74,3.18,-3.06,10.97,11.52,12.13,51.5,87.54,19.74,-30.71,-67.27,-38.17
22,CRCL,"Circle Internet Group, Inc.",21092878336,6830614,3.24,0.0,2.87,4.54,2.36,14.12,-30.02,,,,,
23,KTOS,Kratos Defense & Security Solut,19899566080,5026673,2.53,3.66,28.89,55.26,65.07,55.55,82.73,254.04,422.2,925.76,376.78,1055.49
24,BWXT,"BWX Technologies, Inc.",18890594304,1171739,0.62,2.56,7.48,19.54,21.01,15.96,28.56,92.43,112.79,255.6,278.47,418.65
25,TTD,"The Trade Desk, Inc.",18041993216,10961177,6.08,-1.05,-4.53,-2.79,-1.05,-5.65,-31.37,-30.73,-59.98,-24.12,-53.9,117.06
26,DKNG,DraftKings Inc.,17402126336,8363471,4.81,-0.6,0.87,1.45,2.25,8.57,-26.68,2.28,-4.82,116.6,-41.04,204.53
27,ROKU,"Roku, Inc.",16359076864,4494443,2.75,-0.4,0.38,2.06,-0.14,15.78,12.44,71.26,87.98,100.0,-68.58,45.44
28,BMNR,"BitMine Immersion Technologies,",13256458240,31045986,23.42,3.56,2.54,14.66,9.5,-1.89,-30.59,,,,,
29,TEM,"Tempus AI, Inc.",12321857536,15933526,12.93,4.51,-0.73,17.29,11.33,-10.3,-9.21,29.46,57.88,,,
30,ACHR,Archer Aviation Inc.,6504207360,57773025,88.82,0.57,5.23,17.82,13.3,18.29,5.6,3.5,98.65,234.34,-11.4,
31,BLSH,Bullish,6027350016,1344991,2.23,4.17,1.91,5.62,-6.72,-6.63,-26.28,,,,,
32,CRSP,CRISPR Therapeutics AG,5270102528,1939891,3.68,2.71,-4.64,5.45,0.84,3.75,4.38,41.4,-5.47,7.36,-55.74,41.94
33,WGS,GeneDx Holdings Corp.,3446583296,2145267,6.22,-11.92,-12.68,-8.32,-12.53,-28.0,-6.27,9.0,253.93,796.61,-61.96,
34,VCYT,"Veracyte, Inc.",3434686720,1061620,3.09,3.35,-3.68,3.21,3.35,-8.93,41.9,35.19,88.67,72.9,-9.69,136.27
35,BEAM,Beam Therapeutics Inc.,3418690816,7044582,20.61,22.29,16.45,21.54,28.74,34.6,79.58,67.03,5.15,-21.74,-69.63,73.66
36,RXRX,"Recursion Pharmaceuticals, Inc.",2507273728,24566390,97.98,3.22,-1.03,17.6,8.33,9.07,3.89,-16.35,-41.27,-39.72,-80.93,
37,TXG,"10x Genomics, Inc.",2505750272,4608616,18.39,-3.23,-0.95,21.4,23.75,5.6,48.43,138.27,-2.51,-55.76,-88.74,-64.5
38,TWST,Twist Bioscience Corporation,2330849792,1642878,7.05,7.7,4.08,19.92,19.17,20.0,46.31,-5.3,-33.77,58.83,-66.4,58.7
39,NTLA,"Intellia Therapeutics, Inc.",1323936128,6628625,50.07,10.12,12.83,27.14,28.72,34.15,-2.39,39.73,-57.57,-72.34,-92.88,-5.3
40,PD,"PagerDuty, Inc.",1143200896,1395988,12.21,-0.65,-3.84,-6.48,-5.47,5.33,-21.36,-21.81,-42.92,-59.09,-71.36,-35.71
41,PACB,Pacific Biosciences of Californ,606833920,10692934,176.21,3.61,-5.63,7.49,6.91,-15.9,59.52,76.32,-1.95,-80.41,-93.58,-25.0
42,CERS,Cerus Corporation,436038624,2511394,57.6,10.19,8.61,10.19,5.58,28.98,73.28,66.91,-1.3,-24.58,-64.81,-28.39
43,SLMT,Brera Holdings PLC,174177472,766263,43.99,1.93,2.93,12.83,-11.72,-6.64,-64.77,-69.11,-67.29,-93.3,,
