Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4589896597504,138669726,0.3,1.1,1.99,0.79,0.21,4.19,10.71,60.65,73.0,712.84,745.57,3003.59
2,GOOG,Alphabet Inc.,4044064292864,15676208,0.04,0.42,1.26,0.55,5.57,6.79,34.17,115.68,105.63,273.77,132.44,514.84
2,AMZN,"Amazon.com, Inc.",2615682007040,37754354,0.14,2.63,4.41,2.73,4.99,6.25,5.64,27.38,46.69,159.66,40.79,156.67
3,TSM,Taiwan Semiconductor Manufactur,1754802028544,9928999,0.06,1.69,3.35,-0.97,4.99,10.99,29.1,94.94,105.96,307.16,200.54,695.1
4,META,"Meta Platforms, Inc.",1696239452160,13165683,0.08,0.09,3.91,8.4,2.15,3.19,-13.12,12.79,31.07,287.37,81.23,339.53
5,AVGO,Broadcom Inc.,1577848537088,23649761,0.15,2.44,2.24,-2.98,-3.1,-17.95,-3.52,61.13,127.29,485.68,614.5,1523.67
6,TSLA,"Tesla, Inc.",1433095503872,36827538,0.26,-0.99,-4.11,-1.75,-4.6,-3.58,1.18,51.29,118.19,109.47,71.03,1246.53
7,BABA,Alibaba Group Holding Limited,412338683904,8198919,0.2,0.79,-2.52,1.05,10.53,10.08,3.94,39.63,117.08,107.16,15.21,-2.8
8,AMD,"Advanced Micro Devices, Inc.",410315325440,25158758,0.61,0.29,-0.67,10.58,14.0,13.82,58.35,147.82,84.27,220.73,138.66,491.76
9,PLTR,Palantir Technologies Inc.,394935369728,26390620,0.67,-1.06,-0.12,-6.42,-4.79,-11.65,-1.56,39.07,463.99,2013.52,511.89,
10,SHOP,Shopify Inc.,179003408384,7080663,0.4,0.87,-0.1,-12.97,-17.27,-16.54,-7.01,46.28,101.29,234.22,-6.78,284.45
11,DE,Deere & Company,140739149824,1042703,0.07,0.51,-0.61,0.81,11.39,9.46,11.44,7.03,53.67,29.14,53.27,313.63
12,HOOD,"Robinhood Markets, Inc.",94630633472,18246223,1.93,-1.64,-0.95,-4.63,-14.61,-14.7,-11.29,94.64,467.64,945.08,151.35,
13,ABNB,"Airbnb, Inc.",80949796864,2527246,0.31,-0.88,-1.18,-0.29,-2.69,3.3,7.32,4.61,16.37,7.25,-20.53,
14,COIN,"Coinbase Global, Inc. - 3",56851910656,7408448,1.3,-1.24,-5.52,-11.89,-17.3,-21.63,-34.23,2.1,9.96,225.2,-14.67,
15,BIDU,"Baidu, Inc.",54954184704,2005489,0.36,1.0,-3.0,5.52,5.32,22.86,14.37,79.85,84.96,14.49,-2.53,62.18
