Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4585027534848,151504733,0.33,2.82,-0.42,-0.3,2.57,8.12,32.71,32.07,114.69,1054.81,1012.41,3113.3
2,AMZN,"Amazon.com, Inc.",2347027136512,35923144,0.15,1.71,-2.29,-1.05,-3.32,-3.9,6.2,-6.29,21.61,118.35,38.1,145.58
3,META,"Meta Platforms, Inc.",1797939789824,9208366,0.05,1.47,-0.3,-1.56,-6.46,-3.05,4.18,10.79,66.28,537.15,120.87,249.47
4,TSM,Taiwan Semiconductor Manufactur,1570946023424,18806193,0.12,7.92,-0.54,5.13,11.1,31.2,50.2,37.54,122.56,329.78,179.27,480.02
5,TSLA,"Tesla, Inc.",1449433235456,78973590,0.54,5.42,-0.64,-0.02,0.39,30.56,31.28,7.21,124.63,122.43,128.28,1518.28
6,PLTR,Palantir Technologies Inc.,420402823168,41162086,0.98,1.01,-3.46,-5.26,-1.18,13.08,36.3,124.37,676.22,2007.13,649.94,
7,BABA,Alibaba Group Holding Limited,413628366848,25567597,0.62,4.91,-7.9,-11.9,1.56,23.56,42.01,90.3,126.82,148.19,-19.07,-16.41
8,AMD,"Advanced Micro Devices, Inc.",351215812608,62633955,1.78,0.71,-8.13,27.51,35.44,33.08,82.51,76.18,35.09,199.05,169.58,405.3
9,SHOP,Shopify Inc.,199386562560,7960068,0.4,1.75,-7.67,1.56,-2.2,8.76,48.35,42.7,112.0,289.6,28.16,290.93
10,HOOD,"Robinhood Markets, Inc.",125018800128,27995957,2.24,1.24,-6.75,-3.45,12.64,35.23,94.66,175.2,711.3,1243.65,,
11,DE,Deere & Company,118704340992,1739920,0.15,-1.62,-4.7,-4.92,-6.05,-7.94,-12.95,-7.35,11.88,12.7,29.83,176.22
12,COIN,"Coinbase Global, Inc.",91724349440,10175558,1.11,-0.01,-7.82,-4.05,7.54,17.22,39.45,19.8,63.64,521.28,52.78,
13,RBLX,Roblox Corporation,88901951488,4436623,0.5,1.14,1.8,-3.94,-6.28,2.93,40.81,91.2,250.77,249.05,32.89,
14,ABNB,"Airbnb, Inc.",72770330624,3221990,0.44,0.57,-0.94,-2.16,-5.25,-8.94,-10.97,-6.48,-26.74,8.48,-17.57,
15,BIDU,"Baidu, Inc.",45964312576,4970440,1.08,3.31,-8.83,-10.35,-7.99,31.92,48.1,45.51,18.41,40.53,-33.82,-1.83
16,XYZ,"Block, Inc.",45730988032,5373617,1.18,0.47,-7.51,-2.33,-3.09,-5.8,17.48,-15.39,-0.39,4.69,-64.52,16.22
17,CRCL,"Circle Internet Group, Inc.",34421108736,10260164,2.98,3.41,-8.63,-8.18,-0.12,4.16,,,,,,
18,SOFI,"SoFi Technologies, Inc.",32498794496,62331577,19.18,3.63,-3.14,4.51,-8.96,6.26,101.63,51.45,285.24,356.13,19.66,
19,TTD,"The Trade Desk, Inc.",25070546944,10234706,4.08,-2.07,-5.17,0.78,11.11,-6.19,-32.58,-57.26,-39.32,5.14,-9.72,95.18
20,NTRA,"Natera, Inc.",23904503808,1127242,0.47,2.89,1.21,8.71,-2.8,3.52,4.16,3.91,85.21,330.69,83.98,380.73
