Symbol	Name	Market Cap	Last Sale	Net Change	Percentage Change
AAPL	Apple Inc. Common Stock	3,430,687,188,080	$226.895	$0.065	-0.03%
ABNB	Airbnb, Inc. Class A Common Stock	86,368,934,624	$134.45	$0.16	-0.12%
ADBE	Adobe Inc. Common Stock	217,758,136,000	$493.44	$1.24	-0.25%
ADI	Analog Devices, Inc. Common Stock	112,108,222,139	$221.00	$4.80	-2.13%
ADP	Automatic Data Processing, Inc. Common Stock	124,164,341,442	$304.73	UNCH	UNCH
ADSK	Autodesk, Inc. Common Stock	65,695,400,000	$305.13	$0.43	-0.14%
AEP	American Electric Power Company, Inc. Common Stock	51,339,298,294	$96.40	UNCH	UNCH
AMAT	Applied Materials, Inc. Common Stock	158,310,317,019	$192.15	$0.12	+0.06%
AMD	Advanced Micro Devices, Inc. Common Stock	240,094,346,841	$148.42	$0.47	+0.32%
AMGN	Amgen Inc. Common Stock	174,848,644,137	$325.28	UNCH	UNCH
AMZN	Amazon.com, Inc. Common Stock	2,189,014,991,645	$208.275	$0.095	+0.05%
ANSS	ANSYS, Inc. Common Stock	29,923,625,260	$342.18	UNCH	UNCH
ARM	Arm Holdings plc American Depositary Shares	153,427,941,698	$147.11	$0.37	-0.25%
ASML	ASML Holding N.V. New York Registry Shares	263,384,039,558	$670.00	$0.53	+0.08%
AVGO	Broadcom Inc. Common Stock	857,704,591,882	$183.565	$0.075	-0.04%
AZN	AstraZeneca PLC American Depositary Shares	199,957,004,989	$64.60	$0.11	+0.17%
BIIB	Biogen Inc. Common Stock	25,215,274,594	$173.04	UNCH	UNCH
BKNG	Booking Holdings Inc. Common Stock	163,605,988,472	$4,943.27	UNCH	UNCH
BKR	Baker Hughes Company Class A Common Stock	42,564,452,674	$43.20	$0.185	+0.43%
CCEP	Coca-Cola Europacific Partners plc Ordinary Shares	35,902,120,752	$77.89	UNCH	UNCH
CDNS	Cadence Design Systems, Inc. Common Stock	82,621,728,750	$300.80	$0.45	-0.15%
CDW	CDW Corporation Common Stock	26,635,488,072	$199.87	UNCH	UNCH
CEG	Constellation Energy Corporation Common Stock	74,866,940,803	$238.90	$0.47	-0.20%
CHTR	Charter Communications, Inc. Class A Common Stock New	55,983,889,126	$393.71	UNCH	UNCH
CMCSA	Comcast Corporation Class A Common Stock	168,023,371,532	$43.92	$0.01	+0.02%
COST	Costco Wholesale Corporation Common Stock	418,172,804,221	$943.505	$0.295	-0.03%
CPRT	Copart, Inc. (DE) Common Stock	54,059,687,541	$56.12	UNCH	UNCH
CRWD	CrowdStrike Holdings, Inc. Class A Common Stock	80,899,072,393	$330.20	$0.17	+0.05%
CSCO	Cisco Systems, Inc. Common Stock (DE)	231,702,062,140	$57.99	$0.07	-0.12%
CSGP	CoStar Group, Inc. Common Stock	31,726,767,021	$78.20	$0.81	+1.05%
CSX	CSX Corporation Common Stock	69,423,089,508	$36.12	$0.12	+0.33%
CTAS	Cintas Corporation Common Stock	91,032,567,441	$226.20	$0.48	+0.21%
CTSH	Cognizant Technology Solutions Corporation Class A Common Stock	39,819,646,321	$80.31	UNCH	UNCH
DASH	DoorDash, Inc. Class A Common Stock	71,198,915,365	$172.80	$1.40	+0.82%
DDOG	Datadog, Inc. Class A Common Stock	38,717,684,302	$124.5993	$0.1493	+0.12%
DLTR	Dollar Tree Inc. Common Stock	13,202,666,028	$61.4999	$0.0899	+0.15%
DXCM	DexCom, Inc. Common Stock	27,326,053,484	$70.50	$0.54	+0.77%
EA	Electronic Arts Inc. Common Stock	41,415,501,164	$157.91	UNCH	UNCH
EXC	Exelon Corporation Common Stock	38,294,210,592	$38.11	UNCH	UNCH
FANG	Diamondback Energy, Inc. Common Stock	32,446,382,930	$182.40	$0.52	+0.29%
FAST	Fastenal Company Common Stock	47,738,631,628	$83.33	UNCH	UNCH
FTNT	Fortinet, Inc. Common Stock	70,402,130,939	$92.20	$0.16	+0.17%
GEHC	GE HealthCare Technologies Inc. Common Stock	39,263,663,815	$85.9001	$0.0399	-0.05%
GFS	GlobalFoundries Inc. Ordinary Shares	24,345,049,396	$43.98	UNCH	UNCH
GILD	Gilead Sciences, Inc. Common Stock	120,222,660,302	$96.80	$0.235	+0.24%
GOOG	Alphabet Inc. Class C Capital Stock	2,201,666,260,000	$179.9196	$0.0596	+0.03%
