Rank,Symbol,Name,Market Cap,Volume,1d%,7d%,30d%,90d%,6mo%,1y%,2y%,3y%,4y%
1,NVDA,NVIDIA Corporation,3578681622528,260171855,-0.76,0.43,9.98,15.47,64.5,276.44,372.2,1343.91,3843.25
2,AAPL,Apple Inc.,3461518196736,30174153,0.32,2.13,-0.13,-2.26,35.9,27.51,29.07,143.48,460.02
3,MSFT,Microsoft Corporation,3089118265344,18442663,-0.55,-0.6,-0.47,-7.4,3.71,28.37,24.23,111.43,316.05
4,GOOGL,Alphabet Inc.,2161650171904,18962205,-1.2,-2.42,8.72,-4.19,34.26,44.33,19.28,132.9,209.12
4,GOOG,Alphabet Inc.,2161634967552,14881859,-1.25,-2.55,8.75,-4.28,34.1,44.68,20.06,134.21,213.85
5,AMZN,"Amazon.com, Inc.",2133283307520,32574492,-0.85,-1.91,9.56,5.11,16.93,64.37,19.57,35.26,148.43
6,META,"Meta Platforms, Inc.",1427649593344,9566484,0.79,-3.03,-4.23,15.57,14.22,114.09,63.85,135.43,235.14
7,TSLA,"Tesla, Inc.",1097936797696,65347421,-1.15,-2.28,41.89,33.31,93.74,39.95,-6.2,241.88,1539.7
8,AVGO,Broadcom Inc.,762472235008,16782306,-1.27,-8.75,-12.21,-3.3,22.23,108.24,158.33,486.3,615.7
9,COST,Costco Wholesale Corporation,411208122368,1203735,-0.22,-0.51,2.22,9.39,20.55,85.26,71.86,208.16,382.89
10,NFLX,"Netflix, Inc.",377808715776,4050143,1.44,9.74,21.5,34.67,47.88,110.43,44.16,67.59,151.57
11,TMUS,"T-Mobile US, Inc.",273260576768,2430082,0.97,-1.2,11.02,29.11,41.64,82.04,101.66,128.85,244.51
12,ASML,ASML Holding N.V. - New York Re,260233904128,1584531,-0.56,-1.92,-21.98,-38.1,-34.0,-6.84,-16.33,77.91,289.78
13,CSCO,"Cisco Systems, Inc.",229008703488,12174970,0.86,-1.93,7.36,22.18,19.82,21.33,-0.49,43.21,44.8
14,AMD,"Advanced Micro Devices, Inc.",223298666496,26528155,-1.28,-6.62,-19.54,-22.5,-34.67,10.15,-10.86,150.55,470.24
15,ADBE,Adobe Inc.,219879899136,1868161,-0.02,-0.99,1.1,-11.83,-8.03,10.02,-13.53,17.17,96.08
16,PEP,"Pepsico, Inc.",217789710336,4981432,1.29,-3.36,-8.0,-2.92,-1.1,-9.61,0.06,33.79,65.47
17,LIN,Linde plc,214337781760,1828508,1.37,-1.38,-4.14,1.29,-2.02,26.72,36.17,100.11,200.77
18,AZN,Astrazeneca PLC,197018419200,6054022,-0.94,-2.45,-18.46,-19.09,-2.58,-12.25,16.25,21.73,100.55
19,ISRG,"Intuitive Surgical, Inc.",192984907776,978957,0.56,1.13,10.49,23.7,39.59,73.24,48.61,169.0,211.13
20,INTU,Intuit Inc.,182357966848,1784238,1.0,-6.7,4.84,-2.17,0.5,52.19,1.61,133.85,205.89
21,TXN,Texas Instruments Incorporated,180792295424,7084270,-1.43,-8.19,-2.67,-2.82,17.67,21.43,12.69,69.76,128.27
22,QCOM,QUALCOMM Incorporated,171393990656,14340080,-6.34,-8.33,-9.37,-26.03,-7.26,33.16,-11.9,85.08,257.81
23,BKNG,Booking Holdings Inc. Common St,166027280384,166892,0.79,-0.97,16.88,22.07,47.39,93.87,111.0,189.25,171.5
24,CMCSA,Comcast Corporation,164502962176,13021889,1.58,-2.74,3.84,9.35,4.36,11.57,-7.29,13.6,34.42
25,PDD,PDD Holdings Inc.,161777827840,12804481,-1.01,-0.56,-17.66,-14.24,-0.13,53.07,104.51,39.43,289.21
26,AMGN,Amgen Inc.,154739621888,4229854,2.83,-9.83,-10.0,-12.29,6.39,37.74,40.58,29.6,85.6
27,HON,Honeywell International Inc.,147391479808,4630442,-0.67,1.13,6.59,4.83,14.84,18.32,17.0,62.13,73.39
28,AMAT,"Applied Materials, Inc.",140552634368,5744291,0.7,-9.58,-16.86,-30.52,-19.34,26.48,7.31,183.86,366.56
29,ARM,Arm Holdings plc,140518703104,3808558,0.48,-5.82,-9.92,-25.21,-2.4,,,,
30,PANW,"Palo Alto Networks, Inc.",128573652992,4809733,1.24,-1.31,8.27,16.07,40.89,78.51,107.39,396.53,435.37
31,ADP,"Automatic Data Processing, Inc.",121662578688,2116171,0.35,-2.67,3.76,22.08,24.54,42.62,28.46,123.21,134.65
32,VRTX,Vertex Pharmaceuticals Incorpor,116204806144,1642030,0.72,-10.06,-3.58,-7.72,9.56,35.05,102.95,55.3,140.04
33,SBUX,Starbucks Corporation,111407185920,7035029,-0.09,-1.44,3.12,31.72,9.35,4.04,-7.74,45.47,64.83
34,GILD,"Gilead Sciences, Inc.",110456905728,4549827,1.0,-8.66,2.89,24.87,25.96,20.48,36.34,38.14,59.81
35,MU,"Micron Technology, Inc.",109066756096,10179247,0.65,-9.46,-3.27,-22.75,3.25,51.53,6.13,100.32,154.27
36,ADI,"Analog Devices, Inc.",104764981248,2991663,0.28,-4.29,-9.53,-12.94,10.95,18.22,26.45,96.37,135.67
37,INTC,Intel Corporation,103555129344,48273834,-0.79,-4.15,2.34,-29.64,-45.49,-21.83,-50.16,-54.46,-43.32
