Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,3780565794816,197410422,0.52,0.46,7.53,7.14,9.24,19.32,11.66,24.12,185.35,763.23,913.93,3593.05
2,MSFT,Microsoft Corporation,3697317249024,21448409,0.06,1.05,2.36,3.82,7.24,10.96,22.26,20.26,31.44,84.53,111.99,280.63
3,AAPL,Apple Inc.,3002095632384,50117398,0.17,-0.28,-0.25,1.3,-0.9,-5.6,-17.72,-11.06,8.74,29.79,54.47,298.59
4,AMZN,"Amazon.com, Inc.",2305032716288,49939530,0.22,2.42,4.15,0.47,4.77,2.72,-5.06,16.41,41.23,77.56,32.84,141.16
5,GOOG,Alphabet Inc.,2110725029888,25606956,0.12,1.71,5.07,-1.97,3.1,8.55,-6.44,3.84,22.02,53.13,65.39,197.05
5,GOOGL,Alphabet Inc.,2110714937344,31658117,0.15,1.68,5.05,-1.83,3.39,8.91,-6.09,4.24,22.7,52.85,65.42,195.33
6,META,"Meta Platforms, Inc.",1825630060544,13854999,0.08,2.46,3.95,3.41,5.63,10.76,-1.27,22.14,97.07,354.25,166.48,290.12
7,AVGO,Broadcom Inc.,1270736617472,23502138,0.18,2.09,6.46,7.42,3.73,16.52,16.56,54.19,154.76,436.49,511.77,1027.06
8,TSLA,"Tesla, Inc.",1049324355584,80094609,0.76,-0.54,-6.57,-1.02,-1.89,-2.48,-8.45,30.27,39.26,15.98,22.75,2114.38
9,NFLX,"Netflix, Inc.",556080889856,2590166,0.05,2.46,4.24,6.64,5.41,14.78,23.43,81.56,173.17,478.12,134.47,348.23
10,COST,Costco Wholesale Corporation,435897958400,2248947,0.05,-0.37,-2.15,-0.15,-6.54,-1.61,-8.18,11.72,47.31,90.81,192.06,262.83
11,PLTR,Palantir Technologies Inc.,340416987136,69302335,2.04,0.94,3.09,2.01,10.95,12.61,21.06,260.53,759.14,1323.99,418.14,
12,ASML,ASML Holding N.V. - New York Re,317085941760,1694148,0.05,-2.1,2.36,2.95,7.45,4.48,6.52,-3.47,12.66,46.45,37.91,270.87
13,CSCO,"Cisco Systems, Inc.",273041981440,22311785,0.82,1.11,2.33,5.25,7.08,11.61,7.0,32.48,42.52,64.53,68.39,73.89
14,TMUS,"T-Mobile US, Inc.",262765838336,4334832,0.16,0.23,1.96,0.19,-4.36,-2.13,-13.95,12.3,44.83,67.62,94.69,206.04
15,AMD,"Advanced Micro Devices, Inc.",232962752512,57811784,2.48,0.2,10.88,13.68,21.17,27.76,27.04,-15.93,-3.27,56.74,57.1,364.23
16,LIN,Linde plc,218632470528,1911049,0.09,0.93,1.02,-0.46,-1.97,3.39,2.3,0.16,16.59,62.8,97.6,169.15
17,AZN,Astrazeneca PLC,217247137792,4248502,0.2,0.56,-0.81,-4.73,-4.01,3.47,-3.41,-8.26,4.36,11.91,53.25,76.92
18,INTU,Intuit Inc.,215586979840,1414900,0.07,1.98,1.35,0.62,0.79,17.67,31.81,27.2,27.97,75.51,87.96,180.34
19,ISRG,"Intuitive Surgical, Inc.",191463309312,1939059,0.1,2.41,3.71,2.92,-4.26,-5.28,-10.3,10.84,46.57,131.71,102.36,222.96
20,TXN,Texas Instruments Incorporated,187426848768,4547653,0.24,0.45,2.44,3.56,8.17,9.62,13.68,4.08,28.9,28.36,28.68,94.81
21,BKNG,Booking Holdings Inc. Common St,182095511552,204869,0.01,2.02,4.92,4.23,0.88,6.52,11.35,34.36,60.94,196.24,159.46,189.31
22,PEP,"Pepsico, Inc.",175799877632,11509635,0.65,0.16,-0.67,-2.43,-1.6,-0.52,-8.8,-21.48,-19.15,-19.56,9.18,10.02
23,QCOM,QUALCOMM Incorporated,173692616704,6256513,0.36,1.45,3.3,0.84,6.77,5.15,-7.1,-4.77,17.12,15.76,18.44,135.53
24,ARM,Arm Holdings plc,167521959936,4511470,0.27,0.53,5.91,11.34,21.32,24.84,-0.87,12.52,123.47,,,
25,ADBE,Adobe Inc.,163295789056,3133512,0.19,-0.67,1.27,-4.18,-7.0,-3.13,-16.34,-24.11,-34.87,-4.6,-23.26,35.26
26,PDD,PDD Holdings Inc.,150127984640,4811420,0.32,-1.3,3.73,2.88,6.12,-11.47,-14.83,-31.45,-29.12,107.72,-47.86,211.03
27,AMGN,Amgen Inc.,150079111168,2994944,0.2,-0.44,2.45,-5.57,-2.75,4.11,-3.29,-10.49,-3.99,22.92,37.18,61.34
28,AMAT,"Applied Materials, Inc.",147274432512,5179512,0.35,0.25,6.72,3.95,13.33,6.36,9.02,-8.45,24.09,79.31,61.15,291.75
