Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4203063541760,241323528,0.57,-3.15,-4.95,-7.04,-2.4,0.62,-8.08,9.99,40.82,538.24,482.47,1945.58
2,AAPL,Apple Inc.,3644938780672,88331081,0.24,-0.39,-2.45,-4.92,-6.13,-10.04,-7.45,17.09,10.61,52.46,67.52,221.62
3,GOOGL,Alphabet Inc.,3641197199360,44364079,0.12,-2.0,-3.19,-2.49,-3.38,-9.07,8.1,68.88,82.53,187.91,103.89,327.98
3,GOOG,Alphabet Inc.,3614462967808,34763531,0.1,-2.27,-3.43,-3.12,-3.99,-9.76,6.97,66.59,79.72,184.43,101.85,325.27
4,MSFT,Microsoft Corporation,2838053519360,50853154,0.18,-1.84,-4.4,-5.69,-2.77,-2.78,-22.82,-21.79,-7.26,36.79,17.92,120.99
5,AMZN,"Amazon.com, Inc.",2204630515712,63694603,0.29,-1.62,-4.57,-3.42,-2.2,-7.78,-15.97,-6.62,12.87,92.01,16.72,71.06
6,META,"Meta Platforms, Inc.",1501695836160,21214898,0.14,-2.15,-4.66,-9.27,-8.33,-11.35,-4.35,-16.61,2.36,181.05,75.39,165.38
7,AVGO,Broadcom Inc.,1472212893696,36371916,0.25,-2.92,-3.36,-9.09,-2.83,0.0,-10.97,15.46,82.77,409.47,503.58,1153.43
8,TSLA,"Tesla, Inc.",1380744822784,78628603,0.57,-3.24,-7.84,-9.77,-8.58,-7.36,-14.33,16.57,52.9,122.9,-9.67,584.95
9,WMT,Walmart Inc.,948875362304,57545642,0.61,-1.51,-4.65,-3.42,-6.79,-6.05,16.49,22.72,50.03,143.6,151.93,212.01
10,ASML,ASML Holding N.V. - New York Re,517229641728,2645128,0.05,-3.6,-5.18,-5.01,-9.19,-2.31,29.7,65.67,60.34,113.2,62.02,332.91
11,MU,"Micron Technology, Inc.",476896165888,64224943,1.35,-4.81,-8.41,1.0,2.55,10.44,77.81,248.05,317.69,600.42,493.54,832.67
12,COST,Costco Wholesale Corporation,431587557376,2621555,0.06,-0.25,-2.39,-2.01,-3.8,-1.71,5.52,-0.61,11.92,100.0,99.03,242.52
13,NFLX,"Netflix, Inc.",389490311168,61678012,1.58,0.09,-2.69,-3.24,-4.59,13.54,-16.8,-28.54,29.91,179.96,42.2,122.09
14,PLTR,Palantir Technologies Inc.,360377679872,48700189,1.35,-3.21,-2.84,-0.61,9.83,15.9,-15.32,14.05,284.0,1742.05,479.54,
15,AMD,"Advanced Micro Devices, Inc.",328250621952,32653614,0.99,-1.92,2.56,-1.71,0.56,4.59,-13.79,45.34,23.63,127.67,47.67,289.12
16,CSCO,"Cisco Systems, Inc.",306802491392,90380827,2.95,-1.1,-2.04,-0.58,-2.28,-5.72,9.84,15.19,52.73,78.43,54.01,101.81
17,LRCX,Lam Research Corporation,286826987520,26176384,0.91,-2.41,0.83,4.34,-2.25,7.18,43.72,132.18,185.34,354.5,292.62,814.39
18,AMAT,"Applied Materials, Inc.",283366326272,16721683,0.59,-0.04,1.31,1.71,-4.09,17.6,55.69,89.06,81.34,222.95,142.21,587.16
