Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,AAPL,Apple Inc.,3052340510720,102947073,0.34,-9.25,-8.53,-9.19,-3.1,-17.35,-11.17,-13.18,16.4,31.71,77.28,335.22
2,MSFT,Microsoft Corporation,2773692186624,30037817,0.11,-2.36,-0.61,-5.58,-1.49,-10.34,-9.84,-16.52,14.33,38.01,83.83,197.39
3,NVDA,NVIDIA Corporation,2483920044032,335746516,1.35,-7.81,-6.07,-15.65,-11.92,-27.34,-30.21,-19.42,141.37,441.08,680.1,2663.06
4,AMZN,"Amazon.com, Inc.",1890735620096,95194102,0.5,-8.98,-6.23,-13.27,-7.98,-19.95,-12.06,-7.57,39.24,53.26,15.13,90.78
5,GOOGL,Alphabet Inc.,1847782014976,45935694,0.25,-4.02,-2.53,-11.63,-7.4,-18.24,-14.16,-17.75,9.77,29.99,74.43,177.62
5,GOOG,Alphabet Inc.,1847769432064,28330311,0.15,-3.92,-2.3,-11.67,-7.35,-18.13,-13.73,-17.42,10.1,31.36,76.05,181.7
6,META,"Meta Platforms, Inc.",1346944237568,33921206,0.25,-8.96,-7.76,-15.12,-9.91,-23.42,-5.83,8.83,68.51,156.45,98.04,200.97
7,TSLA,"Tesla, Inc.",859711471616,134891401,1.57,-5.47,3.13,-7.24,11.05,-24.58,-21.85,4.18,10.14,-8.18,63.77,1774.25
8,AVGO,Broadcom Inc.,724147306496,44090699,0.61,-10.51,-8.02,-18.19,-19.27,-31.87,-5.12,-8.25,77.31,183.04,347.73,550.35
9,COST,Costco Wholesale Corporation,429076971520,2525705,0.06,0.21,2.25,3.96,8.59,-6.55,4.32,14.11,73.63,94.66,174.08,307.4
10,NFLX,"Netflix, Inc.",392274542592,5844782,0.15,-1.97,-1.66,-8.04,3.02,-10.49,3.76,39.73,164.9,386.96,87.83,167.03
11,TMUS,"T-Mobile US, Inc.",305860739072,5647531,0.18,1.26,0.44,3.53,3.39,1.28,14.56,47.9,96.11,111.44,111.24,267.95
12,ASML,ASML Holding N.V. - New York Re,261587238912,2873413,0.11,-6.84,-5.95,-14.24,-10.28,-16.13,-5.35,-41.41,7.99,13.07,52.54,230.82
13,AZN,Astrazeneca PLC,229178605568,6858570,0.3,2.35,0.57,1.19,-3.39,0.56,18.63,-4.01,17.41,21.28,48.78,114.23
14,CSCO,"Cisco Systems, Inc.",227995795456,39980214,1.75,-6.68,-6.51,-5.41,-3.31,-10.79,1.02,23.43,11.54,26.89,60.18,22.53
15,LIN,Linde plc,220953952256,2443010,0.11,-0.54,0.34,2.14,3.08,1.49,4.46,5.8,28.15,55.63,97.35,150.85
16,PEP,"Pepsico, Inc.",207575187456,8210634,0.4,1.51,0.95,4.01,2.04,2.42,-2.98,-5.81,-1.99,-2.94,20.31,34.48
17,PLTR,Palantir Technologies Inc.,196072079360,93277122,4.76,-4.4,-0.95,-13.37,5.0,-21.33,34.58,191.59,386.05,726.09,360.61,
18,ISRG,"Intuitive Surgical, Inc.",177206394880,2727020,0.15,-2.45,-0.13,-4.85,3.74,-18.46,-8.71,12.92,79.52,111.39,103.06,193.48
19,INTU,Intuit Inc.,167326236672,2831825,0.17,-3.6,-2.52,-3.26,2.96,3.36,-7.85,-9.85,14.35,48.75,76.76,141.68
20,AMGN,Amgen Inc.,166452969472,3277156,0.2,1.36,-0.55,0.97,-0.89,4.0,8.5,-4.83,14.37,45.31,58.66,108.75
21,PDD,PDD Holdings Inc.,157861494784,11741072,0.74,-4.54,-3.95,-9.25,-4.29,-8.63,-2.42,-16.32,7.92,182.2,-20.82,455.3
22,ADBE,Adobe Inc.,156521955328,5317625,0.34,-4.8,-4.24,-9.02,-2.8,-19.23,-26.48,-35.18,-34.17,-8.3,-20.67,32.92
23,QCOM,QUALCOMM Incorporated,154198523904,16433121,1.07,-9.51,-9.24,-12.94,-8.24,-19.3,-8.66,-32.44,29.61,5.41,5.01,127.47
24,AMD,"Advanced Micro Devices, Inc.",152390303744,50236052,3.3,-8.9,-8.7,-18.3,-4.39,-17.84,-31.83,-47.17,-8.19,-0.07,10.82,198.82
25,TXN,Texas Instruments Incorporated,149408530432,11849278,0.79,-7.85,-8.63,-10.75,-5.41,-19.49,-16.54,-18.89,13.09,5.26,17.76,73.3
26,BKNG,Booking Holdings Inc. Common St,146045026304,394251,0.03,-5.09,-3.39,-6.85,3.61,-11.13,-10.95,8.7,57.85,107.15,125.78,148.64
27,GILD,"Gilead Sciences, Inc.",140108742656,10038366,0.72,0.45,0.3,4.17,-0.15,2.86,28.77,60.8,49.21,105.91,124.44,111.12
28,CMCSA,Comcast Corporation,135058038784,26824928,1.99,-2.43,-2.32,-2.43,3.87,-1.01,-15.45,-7.55,-14.95,-3.06,-18.1,-0.28
29,HON,Honeywell International Inc.,134325248000,6455724,0.48,-4.31,-2.39,-2.56,-0.0,-1.69,-8.33,-3.9,16.35,11.28,11.47,34.38
30,VRTX,Vertex Pharmaceuticals Incorpor,124288933888,2063650,0.17,0.11,-0.17,-4.92,-3.76,0.77,7.26,-1.02,31.69,81.71,124.9,186.58
31,ADP,"Automatic Data Processing, Inc.",124254339072,1998229,0.16,-0.6,-0.05,2.01,5.67,-1.59,3.36,26.18,27.15,48.87,95.6,109.71
32,AMAT,"Applied Materials, Inc.",110093877248,11770682,1.07,-8.28,-6.62,-11.8,-9.63,-23.01,-20.15,-44.52,-3.02,22.66,83.03,244.43
33,PANW,"Palo Alto Networks, Inc.",109359046656,7349770,0.67,-4.63,-3.21,-13.05,-6.32,-16.92,-15.92,-2.41,26.4,87.11,239.38,382.32
34,ARM,Arm Holdings plc,102996877312,7308790,0.71,-9.64,-8.49,-21.37,-12.79,-35.22,-26.91,-45.34,88.29,,,
35,SBUX,Starbucks Corporation,100257185792,20412417,2.04,-11.22,-10.02,-7.95,-8.1,-22.13,-9.69,18.96,-2.34,22.22,-0.27,19.51
36,MELI,"MercadoLibre, Inc.",98634326016,655826,0.07,0.6,-0.27,-11.21,-2.22,-7.81,0.74,13.09,60.56,113.04,37.3,206.1
37,INTC,Intel Corporation,97808031744,241439356,24.69,2.05,-1.23,-7.31,-5.36,-14.03,-6.58,-34.27,-36.01,-46.61,-45.34,-44.88
38,ADI,"Analog Devices, Inc.",89712140288,6873060,0.77,-9.37,-10.31,-15.31,-11.25,-25.49,-13.54,-24.73,8.38,20.64,45.23,90.02
39,APP,Applovin Corporation,89062203392,8292476,0.93,-9.78,-1.13,-24.35,-3.68,-41.78,-19.45,202.76,572.61,618.15,,
40,MDLZ,"Mondelez International, Inc.",87830691840,13765969,1.57,2.68,0.07,5.7,5.7,9.98,6.98,5.36,10.12,12.15,32.26,42.83
41,CRWD,"CrowdStrike Holdings, Inc.",86108602368,4291980,0.5,-6.49,-1.47,-9.76,4.47,-20.35,-0.79,-5.87,84.99,91.95,138.4,414.19
42,LRCX,Lam Research Corporation,83720306688,19434026,2.32,-11.6,-10.29,-16.03,-13.34,-26.51,-6.33,-38.83,9.7,73.94,104.06,445.39
43,MU,"Micron Technology, Inc.",83080151040,44512815,5.36,-16.09,-14.44,-20.96,-21.55,-27.86,-24.23,-41.47,8.27,6.26,23.85,127.81
44,CTAS,Cintas Corporation,82691596288,2243519,0.27,-1.83,-0.33,5.89,7.49,-0.52,-6.18,13.6,65.61,129.85,153.73,322.25
45,ORLY,"O'Reilly Automotive, Inc.",82534506496,536613,0.07,1.76,0.65,4.83,11.82,9.86,21.28,38.18,54.96,138.9,222.73,272.03
46,KLAC,KLA Corporation,82498912256,1520170,0.18,-9.53,-8.68,-14.0,-8.9,-19.98,0.87,-27.92,31.31,92.54,168.42,503.74
47,MSTR,MicroStrategy Incorporated,73521799168,18069607,2.46,-9.68,-2.08,-17.42,7.22,-12.86,-40.43,69.61,757.63,797.49,1170.9,2037.68
48,DASH,"DoorDash, Inc.",73092505600,6135394,0.84,-8.06,-4.8,-12.88,-2.41,-13.97,1.04,60.01,133.54,137.85,,
49,ABNB,"Airbnb, Inc.",70814121984,7946583,1.12,-7.19,-4.6,-12.25,-4.53,-26.62,-15.73,-24.65,-6.71,-20.35,,
50,FTNT,"Fortinet, Inc.",68777041920,6876971,1.0,-8.81,-7.08,-12.39,-4.26,-21.69,-3.26,50.37,55.09,57.18,278.6,483.74
51,CDNS,"Cadence Design Systems, Inc.",68279496704,2993526,0.44,-6.05,-2.13,-7.51,3.04,-7.89,-18.12,-20.15,0.95,66.61,120.68,265.51
