Logo,Symbol,Current Price,Entry Price,P/L(%),Holding Percentage,Holding Value,Holding Amount,Category,ID
B,BTC,30862,20167,53.13%,17.45%,"$53,803",1.742827888,Bitcoin,1
ETH,ETH,1860.2,1248,48.91%,18.75%,"$34,909",18.76634351,Ethereum,1027
SOL,SOL,23.48,13.18,78.15%,16.65%,"$34,429",1466.22658,Solana,5426
AVAX,AVAX,8.778,5.25,67.11%,2.11%,"$4,389",500.228008,Layer-1,5005
TON,TON,2.275,1.36,71.51%,1.80%,"$3,409",1497.354497,Layer-1,11419
KAS,KAS,0.19042,0.153,20.64%,1.16%,"$2,411",12661.86137,Layer-1,20396
APT,APT,14.204,10.09,40.77%,0.94%,"$1,960",137.998357,Layer-1,21794
SEI,SEI,0.67873,0.442,53.56%,1.18%,"$2,457",3619.909602,Layer-1,23149
ALGO,ALGO,0.49173,0.323,52.24%,0.91%,"$1,889",3841.652465,Layer-1,4030
METIS,METIS,62.973,33.9,85.76%,1.21%,"$2,524",39.7648586,Layer-2,9640
SUPER,SUPER,2.0744,0.638,225.14%,4.26%,"$8,857",4269.592476,Gaming,8290
XBG,XBG,0.29085,0.069,321.52%,2.03%,"$4,215",14492.75362,Gaming,33081
PRIME,PRIME,15.497,6.7,131.30%,1.11%,"$2,313",149.2537313,Gaming,23711
BEAM,BEAM,0.035632,0.0119,199.43%,1.44%,"$2,994",84033.61345,Gaming,33571
SWORLD,SWORLD,0.0077126,0.0048,60.68%,0.75%,"$1,553",201330.5322,Gaming,34126
WILD,WILD,0.78083,0.29741,162.54%,2.25%,"$4,673",5985.003867,Gaming,9674
CHAMP,CHAMP,0.09821,0.032336,203.72%,2.60%,"$5,406",55047.00643,Gaming,2499
BORG,BORG,0.36057,0.28159,28.05%,1.10%,"$2,279",6321.247203,DeFi,6535
NEAR,NEAR,7.6381,3.75,103.68%,1.74%,"$3,611",472.7333819,AI,5632
AR,AR,26.36,20.1,31.14%,1.89%,"$3,938",149.3817797,AI,22974
TAO,TAO,688.7,245.8,180.19%,2.21%,"$4,600",6.679393961,AI,15584
HEART,HEART,0.038502,0.01,285.02%,1.85%,"$3,850",100000,AI,33440
GOAT,GOAT,0.73435,0.841,-12.68%,1.08%,"$2,249",3062.659947,AI,6636
OM,OM,4.0943,0.881,364.73%,1.13%,"$2,357",575.7031151,RWA,21159
ONDO,ONDO,1.6623,0.589,182.22%,1.57%,"$3,270",1967.01431,RWA,17799
AXL,AXL,1.0296,0.57,80.63%,1.74%,"$3,613",3508.77193,RWA,12573
CPOOL,CPOOL,0.41849,0.166,152.10%,1.21%,"$2,521",6024.096388,RWA,33720
COOK,COOK,0.029655,0.02,48.28%,1.34%,"$2,796",94294.59461,DeFi,24478
PEPE,PEPE,0.000026415,0.00000706,274.15%,1.27%,"$2,642",100000000,Meme,24835
PEPECOIN,PEPECOIN,3.5746,4.12,-13.24%,0.77%,"$1,597",446.7532111,Meme,27659
MOG,MOG,0.0000037755,0.00000084,349.46%,1.41%,"$2,928",775589180.5,Meme,29743
BRETT,BRETT,0.21039,0.07209,191.70%,1.11%,"$2,304",10950.11865,Meme,27082
FOX,FOX,0.017061,0.01,70.61%,0.74%,"$1,530",89673.78856,Meme,26262
WOOFY,WOOFY,0.00016263,0.000045,261.40%,1.61%,"$3,363",20670000,Meme,30609
PUMP,PUMP,0.12863,0.0755,70.37%,0.77%,"$1,607",12494.96614,Meme,29847
