Rank,Symbol,Name,Market Cap,Volume,1d%,7d%,30d%,90d%,6mo%,1y%,2y%,3y%,4y%
1,AAPL,Apple Inc.,3461593694208,19867195,0.0,0.87,1.51,-2.11,35.06,27.74,31.99,140.41,475.75
2,NVDA,NVIDIA Corporation,3431496679424,144802071,0.0,-5.26,5.25,8.91,62.74,263.35,372.66,1271.83,3796.83
3,MSFT,Microsoft Corporation,3084411207680,7626773,0.0,-1.75,0.11,-8.38,3.48,28.87,27.0,107.07,327.69
4,GOOG,Alphabet Inc.,2145092370432,6446241,0.0,-2.08,6.29,-6.29,31.97,43.92,19.99,133.28,217.9
4,GOOGL,Alphabet Inc.,2144119291904,9356712,0.0,-2.07,6.25,-6.24,31.98,43.35,19.18,130.86,213.05
5,AMZN,"Amazon.com, Inc.",2118667468800,19115157,0.0,-3.24,10.24,4.52,15.68,62.12,17.75,33.89,147.73
6,META,"Meta Platforms, Inc.",1398718857216,8836279,0.0,-5.83,-6.39,11.97,13.43,110.4,66.05,131.68,235.93
7,TSLA,"Tesla, Inc.",1074952798208,90375753,0.0,4.45,37.22,32.8,85.63,42.85,-5.67,225.52,1511.93
8,BRK-B,Berkshire Hathaway Inc. New,1017822969856,1535938,0.0,1.83,3.99,8.63,17.75,40.46,60.24,147.63,125.58
9,AVGO,Broadcom Inc.,772693819392,9276843,0.0,-9.89,-8.44,-3.15,24.56,111.19,165.59,489.67,639.89
10,JPM,JP Morgan Chase & Co.,688575873024,3942083,0.0,3.28,16.14,17.24,32.09,80.62,69.28,176.18,178.49
11,LLY,Eli Lilly and Company,679833632768,5426933,0.0,-13.73,-21.49,-24.42,-7.46,62.4,170.2,357.31,546.36
12,WMT,Walmart Inc.,672721141760,11770287,0.0,-1.28,5.06,20.65,40.84,67.93,87.54,102.9,193.7
13,V,Visa Inc.,602195886080,2359197,0.0,1.31,13.44,16.42,12.07,41.2,47.07,63.57,131.59
14,UNH,UnitedHealth Group Incorporated,543023071232,1183425,0.0,-4.17,1.46,14.91,26.19,23.18,23.9,106.28,139.42
15,XOM,Exxon Mobil Corporation,528398385152,4935965,0.0,0.03,-0.73,6.0,16.54,16.85,118.94,231.84,111.37
16,ORCL,Oracle Corporation,512083296256,2322514,0.0,-2.29,6.29,29.54,68.07,75.41,115.47,248.1,298.27
17,MA,Mastercard Incorporated,477955883008,914157,0.0,-0.72,4.95,17.49,11.9,42.96,47.06,74.5,151.58
18,COST,Costco Wholesale Corporation,406369730560,770419,0.0,-2.75,3.22,8.44,21.3,82.22,74.01,204.36,379.63
19,HD,"Home Depot, Inc. (The)",406316417024,1060364,0.0,0.78,-1.24,14.81,10.16,40.28,10.63,75.82,155.75
20,PG,Procter & Gamble Company (The),401981767680,2914224,0.0,1.78,2.1,4.95,9.11,20.97,14.82,53.17,102.1
21,JNJ,Johnson & Johnson,371568017408,2835559,0.0,-0.73,-3.35,4.2,-2.0,0.07,-0.73,17.07,34.76
22,NFLX,"Netflix, Inc.",360090632192,2701744,0.0,5.99,16.75,28.37,40.8,105.84,37.22,61.04,147.95
23,BAC,Bank of America Corporation,358515310592,16856067,0.0,3.56,17.04,12.29,33.73,65.72,13.21,111.11,89.67
24,CRM,"Salesforce, Inc.",306828214272,2197655,0.0,-0.27,10.12,27.18,7.95,53.92,27.4,71.46,106.91
25,ABBV,AbbVie Inc.,292002234368,3460475,0.0,-17.16,-13.69,-0.86,-5.29,27.1,39.13,95.75,165.52
26,CVX,Chevron Corporation,286791565312,2668772,0.0,2.48,8.11,2.9,9.81,6.39,53.59,117.9,74.8
27,TMUS,"T-Mobile US, Inc.",275523534848,1064418,0.0,0.93,12.47,31.1,44.17,85.07,101.14,129.88,246.38
28,KO,Coca-Cola Company (The),266437427200,6079901,0.0,-3.22,-10.58,-1.78,6.3,7.29,15.42,51.78,51.87
29,WFC,Wells Fargo & Company,246032646144,8132886,0.0,5.59,29.81,29.83,33.18,82.17,65.68,223.17,78.05
30,MRK,"Merck & Company, Inc.",243579027456,5309802,0.0,-6.38,-11.21,-24.29,-20.05,-9.13,37.58,44.61,56.88
31,CSCO,"Cisco Systems, Inc.",229893701632,6467759,0.0,-0.65,9.39,22.62,20.73,21.66,1.65,41.74,45.28
32,AMD,"Advanced Micro Devices, Inc.",227340582912,25523125,0.0,-5.29,-18.91,-22.08,-31.69,15.76,-4.12,153.21,471.7
33,ACN,Accenture plc,221286514688,668976,0.0,-0.38,-1.32,11.87,-4.86,18.0,-8.12,71.37,149.43
34,BX,Blackstone Inc.,220537978880,902943,0.0,2.43,22.27,38.84,48.23,113.75,49.64,280.28,566.66
35,ADBE,Adobe Inc.,219562950656,1172365,0.0,0.78,0.47,-11.87,-8.5,13.56,-12.48,15.14,101.53
36,PEP,"Pepsico, Inc.",217860210688,2972664,0.0,-3.76,-6.76,-2.29,-0.42,-9.4,1.16,34.12,66.96
