Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4321915437056,187239412,0.43,-3.01,-1.24,-9.07,-4.88,-3.8,-4.53,23.4,50.91,558.24,684.06,2194.44
2,AAPL,Apple Inc.,3784127807488,40628988,0.11,-1.09,-2.38,-6.12,-1.63,3.77,-1.85,32.0,13.23,58.62,77.21,245.41
3,GOOGL,Alphabet Inc.,3611196391424,25386636,0.07,-0.78,-1.67,-4.6,-3.39,-9.69,14.93,69.92,85.05,177.42,118.64,346.15
3,GOOG,Alphabet Inc.,3608535105536,17410318,0.05,-0.87,-1.73,-4.71,-3.58,-9.84,14.58,68.57,83.66,175.98,116.8,345.46
4,MSFT,Microsoft Corporation,3039545262080,30792826,0.1,-0.42,1.25,2.09,2.0,-9.14,-21.57,-13.95,-5.69,43.57,37.28,139.51
5,AMZN,"Amazon.com, Inc.",2288792633344,50910303,0.22,-2.62,2.15,1.22,6.82,-9.02,-4.91,-0.75,12.29,108.91,27.84,80.08
6,META,"Meta Platforms, Inc.",1631209127936,13000591,0.08,-2.38,-1.56,-1.35,-0.76,-0.43,-12.59,-7.37,15.8,200.49,100.04,216.61
7,AVGO,Broadcom Inc.,1566896160768,38409481,0.25,-0.69,5.3,-0.55,-0.21,1.53,-6.5,33.32,99.71,451.17,596.63,1335.38
8,TSLA,"Tesla, Inc.",1488702275584,63495510,0.43,-2.17,1.1,-4.95,-4.88,-11.71,-8.53,25.41,62.65,114.38,30.84,652.37
9,WMT,Walmart Inc.,987039006720,21452841,0.22,0.4,-3.21,-1.55,-7.36,5.07,16.84,31.93,60.51,154.42,164.84,223.83
10,LLY,Eli Lilly and Company,886363914240,1859281,0.02,0.72,-1.73,-3.74,-4.46,-8.77,20.35,25.83,9.4,174.93,323.82,571.68
11,JPM,JP Morgan Chase & Co.,780736987136,13479846,0.17,-1.39,-3.59,-4.56,-4.35,-4.66,-3.21,8.94,41.94,141.92,88.02,301.54
12,XOM,Exxon Mobil Corporation,630056353792,21084632,0.33,0.3,-0.41,1.44,0.85,13.9,33.07,35.95,37.16,45.56,181.7,363.87
13,V,Visa Inc.,611882631168,6419890,0.1,-0.76,-1.08,1.4,-2.1,-2.56,-8.27,-10.8,12.5,43.66,41.99,86.77
14,JNJ,Johnson & Johnson,579339681792,5408222,0.09,0.32,-2.57,-1.95,-1.17,10.61,27.74,60.78,52.33,59.17,67.05,93.25
15,MA,Mastercard Incorporated,466155929600,2225409,0.05,-0.44,-0.38,2.54,-0.97,-1.97,-8.81,-7.89,6.86,46.82,49.31,100.44
