Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,MSFT,Microsoft Corporation,3530159292416,16796830,0.05,-0.82,0.86,2.39,4.42,11.86,15.62,11.32,28.0,91.55,102.98,263.02
2,NVDA,NVIDIA Corporation,3462307774464,177854288,0.51,-2.09,-1.38,0.04,6.89,27.21,19.67,17.48,186.81,783.02,952.09,3231.81
3,AAPL,Apple Inc.,2934137946112,50778564,0.17,-1.38,-3.07,-3.14,-2.44,-7.79,-15.41,-13.3,2.23,35.72,50.35,283.57
4,AMZN,"Amazon.com, Inc.",2251738578944,29278801,0.13,-0.53,-2.53,2.35,4.43,11.51,-12.38,9.35,38.28,86.45,28.06,135.06
5,GOOGL,Alphabet Inc.,2126188118016,27594804,0.13,-0.59,-2.2,4.07,2.35,8.42,-15.16,8.01,25.31,61.16,70.69,194.95
5,GOOG,Alphabet Inc.,2126178287616,20252814,0.1,-0.62,-2.29,3.96,2.39,8.17,-15.13,7.85,25.23,60.97,70.94,197.47
6,META,"Meta Platforms, Inc.",1716960624640,9245769,0.05,-1.51,-2.78,-0.74,7.27,19.34,-2.94,21.43,91.47,310.27,157.3,276.89
7,AVGO,Broadcom Inc.,1169752981504,18307585,0.16,-2.88,1.66,-4.74,7.88,26.03,12.15,43.06,125.24,435.39,490.74,918.5
8,BRK-B,Berkshire Hathaway Inc. New,1051735949312,3129046,0.03,-0.57,-0.73,-0.7,-3.18,-8.05,4.29,7.26,36.35,76.48,109.53,142.55
9,TSLA,"Tesla, Inc.",1047810473984,128266351,1.22,1.94,-0.24,-2.03,-4.61,15.97,-17.06,27.94,28.49,35.24,14.19,2096.56
10,WMT,Walmart Inc.,753670881280,17665470,0.23,-0.41,-2.96,-4.94,-1.55,-2.81,-5.8,17.94,82.9,129.07,113.82,175.52
11,JPM,JP Morgan Chase & Co.,736319897600,5670429,0.08,-1.23,-1.36,0.28,1.64,7.32,-0.51,27.42,61.1,155.0,119.5,187.07
12,LLY,Eli Lilly and Company,735568986112,2752040,0.04,0.9,1.51,6.99,14.56,3.39,-0.44,-10.88,42.52,161.38,336.77,690.75
13,V,Visa Inc.,675944202240,12798524,0.19,-4.99,-4.82,-4.12,-1.43,3.21,2.57,30.03,37.0,74.23,81.03,103.99
14,ORCL,Oracle Corporation,603526332416,50428408,0.84,7.69,21.26,28.03,36.81,47.93,28.65,30.89,106.28,218.54,268.3,341.69
15,NFLX,"Netflix, Inc.",515855908864,2174186,0.04,-0.24,0.71,-2.22,2.04,6.94,21.84,67.83,147.12,534.9,124.7,308.23
16,MA,Mastercard Incorporated,510369333248,5901946,0.12,-4.62,-4.67,-3.78,-1.42,2.82,0.68,15.82,33.0,72.62,73.04,106.73
17,XOM,Exxon Mobil Corporation,483196862464,24934966,0.52,2.18,4.57,9.6,8.89,6.97,3.82,-1.66,17.84,44.33,184.14,111.66
18,COST,Costco Wholesale Corporation,439135371264,1753812,0.04,-1.25,-1.69,-5.85,-2.74,-0.75,-2.86,10.25,50.56,99.97,193.8,287.53
19,JNJ,Johnson & Johnson,377993625600,6586900,0.17,0.28,0.42,2.53,3.82,2.58,4.06,-1.1,5.23,-1.27,11.29,41.8
20,PG,Procter & Gamble Company (The),375782866944,4681056,0.12,-1.78,-1.57,-3.42,-2.88,0.19,-4.07,-5.79,14.12,20.61,38.1,54.71
21,HD,"Home Depot, Inc. (The)",352861159424,2383164,0.07,-2.34,-3.6,-4.17,-2.53,-0.4,-12.72,-9.89,5.92,30.67,44.35,85.59
22,ABBV,AbbVie Inc.,337523703808,4965321,0.15,-0.7,0.83,2.0,4.68,-1.17,1.52,1.4,30.39,41.79,111.25,262.48
23,BAC,Bank of America Corporation,332080578560,36404535,1.1,-1.19,-2.22,-0.02,2.4,10.41,-4.45,13.76,35.08,48.11,55.85,88.12
24,PLTR,Palantir Technologies Inc.,324251615232,93230679,2.88,1.63,3.46,5.68,12.36,18.24,32.33,272.36,682.46,1421.59,332.62,
25,KO,Coca-Cola Company (The),305689231360,11341144,0.37,-0.99,-1.14,0.22,0.54,0.33,14.97,1.78,26.39,26.04,66.8,56.69
26,PM,Philip Morris International Inc,286913331200,5500252,0.19,0.12,2.96,2.03,5.19,8.4,42.62,56.86,107.57,136.61,185.14,202.89
27,UNH,UnitedHealth Group Incorporated,284415590400,12096235,0.43,-1.56,3.21,4.38,5.68,-21.75,-42.27,-45.05,-39.07,-37.11,-1.33,46.73
28,TMUS,"T-Mobile US, Inc.",258882600960,4192775,0.16,-0.31,-3.79,-5.77,-4.97,-7.35,-3.22,14.39,46.58,74.02,80.88,200.82
29,IBM,International Business Machines,257647427584,2425651,0.09,-1.36,0.35,4.41,7.3,16.44,6.23,28.13,77.76,126.65,195.77,179.31
30,CSCO,"Cisco Systems, Inc.",253796384768,14482480,0.57,-1.55,-1.63,-0.47,1.15,10.27,5.18,24.63,32.87,63.78,59.05,58.75
31,CVX,Chevron Corporation,252749692928,14119209,0.56,0.65,1.79,6.22,7.85,8.39,-2.54,2.3,4.0,17.93,98.4,59.97
32,GE,GE Aerospace,252307881984,5874763,0.23,-1.41,-2.23,-5.69,2.75,16.2,17.24,25.37,132.99,504.56,331.93,494.85
33,CRM,"Salesforce, Inc.",247030398976,5900205,0.24,-3.19,-3.66,-1.81,-8.83,-4.06,-24.8,-4.19,-2.01,55.01,10.83,75.56
34,ABT,Abbott Laboratories,235957092352,2458886,0.1,-0.61,1.11,2.0,3.13,3.62,5.54,21.41,26.54,33.77,21.89,77.84
35,WFC,Wells Fargo & Company,235472470016,21110254,0.9,-2.23,-4.1,-4.01,-1.4,1.32,-8.0,35.78,51.67,90.42,153.29,84.84
36,LIN,Linde plc,219347976192,1364485,0.06,-0.97,-2.01,-1.64,1.84,4.33,3.13,-1.86,15.86,75.01,98.25,171.92
37,MCD,McDonald's Corporation,215875616768,2013198,0.09,-0.41,0.49,-3.1,-3.4,-3.19,5.39,2.31,5.72,28.13,60.27,58.04
38,DIS,Walt Disney Company (The),212026638336,7263030,0.34,-0.56,-0.67,3.92,6.13,29.88,4.1,26.44,31.65,24.76,-32.33,-11.73
39,INTU,Intuit Inc.,210320457728,1131668,0.05,-1.6,-1.07,-1.67,13.2,20.99,27.64,18.74,21.19,97.83,103.68,184.0
40,MS,Morgan Stanley,207743401984,4367160,0.21,-1.84,-1.77,1.04,2.56,10.9,-4.56,29.11,45.43,82.84,111.28,286.4
41,MRK,"Merck & Company, Inc.",205176258560,12857009,0.63,-0.13,0.44,4.4,4.97,-1.86,-9.17,-27.74,-22.16,-4.36,26.18,17.65
42,NOW,"ServiceNow, Inc.",204802883584,1098831,0.05,-1.86,-2.09,-2.38,-2.67,3.21,-2.13,7.04,40.74,131.68,71.45,273.59
43,T,AT&T Inc.,202988863488,15556209,0.77,-0.28,-0.81,3.03,3.53,1.99,17.48,35.35,83.02,62.09,75.36,60.77
44,AXP,American Express Company,201622519808,3404176,0.17,-3.42,-3.92,-2.75,0.21,7.17,-8.58,9.0,55.96,109.62,152.01,154.53
45,ACN,Accenture plc,195138551808,2472251,0.13,-2.02,-2.87,-1.48,-1.5,3.72,-20.01,-6.99,-9.09,21.41,33.71,73.18
46,RTX,RTX Corporation,194634547200,11722103,0.6,3.34,5.18,5.15,9.22,14.93,14.65,23.26,78.96,74.16,129.59,108.01
47,AMD,"Advanced Micro Devices, Inc.",188341829632,39598883,2.1,-1.97,-5.74,-2.04,4.92,20.19,-2.79,-26.63,-21.91,42.65,32.17,264.14
48,GS,"Goldman Sachs Group, Inc. (The)",188259221504,1674422,0.09,-1.85,-0.22,2.39,3.07,11.33,-2.29,25.04,64.25,120.42,137.0,250.11
49,ISRG,"Intuitive Surgical, Inc.",183574528000,2149269,0.12,-0.16,-3.29,-8.2,-5.62,-0.97,-11.64,5.73,51.36,148.32,106.14,207.14
50,VZ,Verizon Communications Inc.,181340913664,10342712,0.57,-0.35,-2.54,-0.53,-0.28,-0.67,9.77,1.14,26.54,2.99,1.39,4.28
51,PEP,"Pepsico, Inc.",179405815808,10352357,0.58,-1.1,-0.74,0.41,1.66,-0.95,-6.99,-20.79,-18.69,-14.7,8.48,17.77
52,TXN,Texas Instruments Incorporated,177152032768,5137792,0.29,-2.33,-3.6,2.24,8.21,23.21,8.92,-2.69,18.66,33.54,30.41,83.22
53,UBER,"Uber Technologies, Inc.",175511896064,14531549,0.83,-1.97,-2.85,0.58,-4.62,3.76,20.33,8.38,32.93,271.7,46.94,146.85
54,BKNG,Booking Holdings Inc. Common St,172410863616,263680,0.02,-2.99,-3.45,-4.49,-0.64,4.04,13.67,27.52,51.12,208.58,164.67,174.81
55,QCOM,QUALCOMM Incorporated,169882566656,8440389,0.5,-2.51,-2.77,4.43,5.62,15.12,-9.57,-5.78,9.4,17.03,5.03,130.18
56,CAT,"Caterpillar, Inc.",167925972992,1607030,0.1,-1.08,-0.42,2.21,3.44,13.72,-0.88,-6.36,23.23,118.15,102.69,243.56
57,ADBE,Adobe Inc.,166934020096,10611155,0.64,-5.32,-5.86,-5.37,-5.47,4.55,-11.03,-25.26,-34.23,4.38,-18.73,36.15
58,BX,Blackstone Inc.,165496700928,2967140,0.18,-3.11,-4.58,-1.69,-0.38,2.26,-18.9,-11.61,6.73,61.51,128.33,234.66
59,AMGN,Amgen Inc.,158741561344,2009675,0.13,-0.7,0.61,2.86,8.58,4.95,3.88,-8.55,7.23,33.17,43.56,73.08
60,SCHW,Charles Schwab Corporation (The,158730502144,8938635,0.56,-1.29,-1.03,-0.14,0.06,7.52,7.5,36.63,28.3,49.06,73.45,150.33
61,PGR,Progressive Corporation (The),157020094464,2711829,0.17,-0.21,0.89,-5.07,-3.35,-3.53,8.04,6.5,73.58,150.14,223.82,297.46
62,NEE,"NextEra Energy, Inc.",153944342528,10319618,0.67,1.27,2.71,7.01,12.62,14.13,8.74,-9.22,28.19,4.8,0.86,55.99
63,SPGI,S&P Global Inc.,153798459392,1343037,0.09,-0.87,-2.42,-2.42,-1.74,0.7,-2.02,-2.68,14.8,48.99,60.63,100.32
64,TMO,Thermo Fisher Scientific Inc,152039489536,2384592,0.16,-2.93,-2.74,-0.12,0.67,-3.98,-30.5,-34.0,-24.08,-22.01,-18.55,46.99
65,BA,Boeing Company (The),151042490368,15085227,1.0,-1.68,-7.14,-5.5,-1.52,9.53,13.67,28.57,-23.06,35.61,-3.41,-42.81
