,fast_ma,slow_ma,profit,end_capital,number_of_trades
121,1,63,0.055600000000000094,10556,24
6,7,61,0.05249999999999999,10525,22
373,64,66,0.050799999999999956,10508,28
66,7,62,0.043400000000000105,10434,22
60,1,62,0.03849999999999998,10385,26
0,1,61,0.03550000000000009,10355,26
5,6,61,0.030000000000000027,10300,22
183,1,64,0.02859999999999996,10286,26
441,1,68,0.02410000000000001,10241,26
246,1,65,0.020399999999999974,10204,26
310,1,66,0.020399999999999974,10204,26
309,64,65,0.020199999999999996,10202,28
1265,33,79,0.019300000000000095,10193,14
508,1,69,0.019200000000000106,10192,26
65,6,62,0.013600000000000056,10136,22
375,1,67,0.012499999999999956,10125,28
1264,32,79,0.011300000000000088,10113,14
1342,32,80,0.010999999999999899,10110,16
1,2,61,0.010499999999999954,10105,28
1188,33,78,0.010199999999999987,10102,14
1223,68,78,0.007600000000000051,10076,16
9,10,61,0.006899999999999906,10069,16
7,8,61,0.006399999999999961,10064,20
1149,70,77,0.006199999999999983,10062,20
509,2,69,0.005300000000000082,10053,26
577,2,70,0.005300000000000082,10053,26
442,2,68,0.005300000000000082,10053,26
376,2,67,0.004899999999999904,10049,26
1002,72,75,0.0045999999999999375,10046,28
747,33,72,0.0039000000000000146,10039,14
712,68,71,0.0036000000000000476,10036,26
1187,32,78,0.0022999999999999687,10023,14
1224,69,78,0.0020000000000000018,10020,16
126,6,63,0.0017000000000000348,10017,24
63,4,62,0.0015000000000000568,10015,22
646,2,71,-0.0007000000000000339,9993,26
1112,33,77,-0.0016000000000000458,9984,14
576,1,70,-0.0017000000000000348,9983,26
127,7,63,-0.0019000000000000128,9981,20
1319,9,80,-0.0020999999999999908,9979,18
8,9,61,-0.0031999999999999806,9968,16
1066,62,76,-0.0039000000000000146,9961,16
67,8,62,-0.0039000000000000146,9961,20
188,6,64,-0.0043999999999999595,9956,22
124,4,63,-0.005099999999999993,9949,22
1189,34,78,-0.006299999999999972,9937,14
311,2,66,-0.00660000000000005,9934,26
1148,69,77,-0.006900000000000017,9931,16
963,33,75,-0.007000000000000006,9930,14
314,5,66,-0.007600000000000051,9924,22
711,67,71,-0.007800000000000029,9922,24
128,8,63,-0.008199999999999985,9918,20
187,5,64,-0.008299999999999974,9917,22
1233,1,79,-0.008600000000000052,9914,26
251,6,65,-0.008600000000000052,9914,22
64,5,62,-0.008700000000000041,9913,22
250,5,65,-0.009099999999999997,9909,22
1040,36,76,-0.009399999999999964,9906,14
189,7,64,-0.010199999999999987,9898,20
1115,36,77,-0.011099999999999999,9889,14
1266,34,79,-0.011199999999999988,9888,14
1311,1,80,-0.011600000000000055,9884,26
1037,33,76,-0.012800000000000034,9872,14
1344,34,80,-0.013299999999999979,9867,14
1111,32,77,-0.013299999999999979,9867,14
1036,32,76,-0.014100000000000001,9859,14
1300,68,79,-0.01419999999999999,9858,18
704,60,71,-0.014499999999999957,9855,16
1213,58,78,-0.014599999999999946,9854,14
645,1,71,-0.014599999999999946,9854,28
247,2,65,-0.015100000000000002,9849,26
438,64,67,-0.015700000000000047,9843,28
641,66,70,-0.01649999999999996,9835,26
372,63,66,-0.01649999999999996,9835,26
1001,71,75,-0.01649999999999996,9835,24
1082,3,77,-0.016700000000000048,9833,22
639,64,70,-0.017100000000000004,9829,24
993,63,75,-0.017100000000000004,9829,16
1156,1,78,-0.017199999999999993,9828,26
1042,38,76,-0.017199999999999993,9828,14
69,10,62,-0.01749999999999996,9825,16
1150,71,77,-0.01749999999999996,9825,20
507,67,68,-0.017800000000000038,9822,28
819,34,73,-0.018100000000000005,9819,14
1343,33,80,-0.018199999999999994,9818,14
1067,63,76,-0.019199999999999995,9808,16
123,3,63,-0.01970000000000005,9803,24
1000,70,75,-0.01980000000000004,9802,22
3,4,61,-0.020399999999999974,9796,24
125,5,63,-0.020499999999999963,9795,22
379,5,67,-0.02059999999999995,9794,22
1075,71,76,-0.02080000000000004,9792,22
1039,35,76,-0.021100000000000008,9789,14
186,4,64,-0.021199999999999997,9788,22
378,4,67,-0.021199999999999997,9788,22
1114,35,77,-0.021399999999999975,9786,14
748,34,72,-0.021700000000000053,9783,14
1225,70,78,-0.022399999999999975,9776,18
4,5,61,-0.023499999999999965,9765,24
1226,71,78,-0.023800000000000043,9762,20
891,34,74,-0.023800000000000043,9762,14
1065,61,76,-0.023900000000000032,9761,16
568,61,69,-0.023900000000000032,9761,16
1235,3,79,-0.02400000000000002,9760,22
1145,66,77,-0.02410000000000001,9759,16
254,9,65,-0.024499999999999966,9755,16
1074,70,76,-0.024800000000000044,9752,20
1312,2,80,-0.024800000000000044,9752,24
10,11,61,-0.025000000000000022,9750,16
640,65,70,-0.026000000000000023,9740,26
1012,8,76,-0.026100000000000012,9739,20
677,33,71,-0.02629999999999999,9737,14
11,12,61,-0.026599999999999957,9734,16
1138,59,77,-0.026699999999999946,9733,14
1228,73,78,-0.026699999999999946,9733,22
1269,37,79,-0.027100000000000013,9729,14
618,43,70,-0.027100000000000013,9729,14
68,9,62,-0.02739999999999998,9726,16
131,11,63,-0.027699999999999947,9723,16
1068,64,76,-0.027900000000000036,9721,16
992,62,75,-0.027900000000000036,9721,16
1158,3,78,-0.028000000000000025,9720,24
1267,35,79,-0.028100000000000014,9719,14
686,42,71,-0.028100000000000014,9719,14
1190,35,78,-0.028100000000000014,9719,14
248,3,65,-0.028100000000000014,9719,24
787,2,73,-0.028200000000000003,9718,28
716,2,72,-0.028200000000000003,9718,28
890,33,74,-0.028299999999999992,9717,14
312,3,66,-0.028299999999999992,9717,24
1072,68,76,-0.02859999999999996,9714,16
191,9,64,-0.028800000000000048,9712,16
1191,36,78,-0.028900000000000037,9711,14
821,36,73,-0.029100000000000015,9709,14
1064,60,76,-0.029100000000000015,9709,16
1041,37,76,-0.02949999999999997,9705,14
1151,72,77,-0.02959999999999996,9704,24
190,8,64,-0.02959999999999996,9704,20
552,45,69,-0.03059999999999996,9694,14
475,35,68,-0.03090000000000004,9691,14
1116,37,77,-0.03090000000000004,9691,14
1003,73,75,-0.031000000000000028,9690,28
1147,68,77,-0.031000000000000028,9690,16
1113,34,77,-0.031000000000000028,9690,14
678,34,71,-0.031100000000000017,9689,14
1299,67,79,-0.031200000000000006,9688,18
922,65,74,-0.031200000000000006,9688,16
679,35,71,-0.03159999999999996,9684,14
889,32,74,-0.03159999999999996,9684,14
574,67,69,-0.03169999999999995,9683,30
185,3,64,-0.03180000000000005,9682,24
2,3,61,-0.03190000000000004,9681,26
1142,63,77,-0.03210000000000002,9679,16
575,68,69,-0.032200000000000006,9678,28
920,63,74,-0.032299999999999995,9677,16
857,72,73,-0.032399999999999984,9676,28
70,11,62,-0.03249999999999997,9675,16
578,3,70,-0.03249999999999997,9675,26
62,3,62,-0.03259999999999996,9674,26
921,64,74,-0.03290000000000004,9671,16
849,64,73,-0.03290000000000004,9671,16
617,42,70,-0.03290000000000004,9671,14
848,63,73,-0.033299999999999996,9667,16
610,35,70,-0.033299999999999996,9667,14
895,38,74,-0.03369999999999995,9663,14
1043,39,76,-0.03369999999999995,9663,14
709,65,71,-0.03380000000000005,9662,20
1143,64,77,-0.03380000000000005,9662,16
1318,8,80,-0.03390000000000004,9661,20
708,64,71,-0.03400000000000003,9660,20
919,62,74,-0.03410000000000002,9659,16
436,62,67,-0.03420000000000001,9658,24
313,4,66,-0.0343,9657,22
420,46,67,-0.0343,9657,14
419,45,67,-0.0343,9657,14
1139,60,77,-0.03469999999999995,9653,16
1117,38,77,-0.03480000000000005,9652,14
756,42,72,-0.03500000000000003,9650,14
687,43,71,-0.03500000000000003,9650,14
827,42,73,-0.03510000000000002,9649,14
818,33,73,-0.03520000000000001,9648,14
550,43,69,-0.03539999999999999,9646,14
129,9,63,-0.03539999999999999,9646,16
193,11,64,-0.035699999999999954,9643,16
418,44,67,-0.03600000000000003,9640,14
710,66,71,-0.0363,9637,24
856,71,73,-0.036599999999999966,9634,30
485,45,68,-0.036800000000000055,9632,14
636,61,70,-0.03700000000000003,9630,16
824,39,73,-0.0373,9627,14
937,7,75,-0.0373,9627,20
1222,67,78,-0.03739999999999999,9626,18
1322,12,80,-0.03739999999999999,9626,18
380,6,67,-0.03749999999999998,9625,20
647,3,71,-0.03749999999999998,9625,26
551,44,69,-0.03749999999999998,9625,14
61,2,62,-0.037699999999999956,9623,30
938,8,75,-0.037699999999999956,9623,20
929,72,74,-0.037799999999999945,9622,30
619,44,70,-0.037799999999999945,9622,14
504,64,68,-0.037900000000000045,9621,24
927,70,74,-0.038000000000000034,9620,26
345,36,66,-0.0383,9617,14
638,63,70,-0.03859999999999997,9614,18
994,64,75,-0.03859999999999997,9614,16
