,fast_ma,slow_ma,profit,end_capital,number_of_trades
276,117,162,437.2636,4382636,22
275,116,162,398.0529,3990529,24
596,114,164,374.7311,3757311,20
2161,4,174,368.169,3691690,30
274,115,162,363.7371,3647371,24
2683,4,177,359.93,3609300,34
115,116,161,354.2224,3552224,24
1989,4,173,351.4595,3524595,30
1818,4,172,351.292,3522920,30
2508,4,176,343.3268,3443268,32
2334,4,175,340.9179,3419179,32
2859,4,178,337.3702,3383702,32
1648,4,171,333.7919,3347919,28
117,118,161,331.2402,3322402,24
3212,2,180,328.0298,3290298,44
3036,4,179,326.4545,3274545,30
1988,3,173,321.9417,3229417,38
1,2,161,320.0388,3210388,44
1085,111,167,319.3236,3203236,20
1647,3,171,316.6728,3176728,36
3213,3,180,316.6007,3176007,30
3214,4,180,315.7546,3167546,28
758,113,165,313.6877,3146877,20
2160,3,174,311.0536,3120536,34
164,5,162,311.0277,3120277,24
1990,5,173,309.7085,3107085,26
1341,34,169,306.2741,3072741,16
921,112,166,305.8082,3068082,20
1817,3,172,305.7738,3067738,38
4,5,161,305.1722,3061722,24
116,117,161,304.5955,3055955,24
1479,4,170,304.4014,3054014,28
2162,5,174,302.805,3038050,26
841,32,166,300.8204,3018204,16
438,118,163,300.2317,3012317,22
761,116,165,299.8258,3008258,18
437,117,163,298.8812,2998812,20
277,118,162,297.744,2987440,22
757,112,165,296.3943,2973943,20
1819,5,172,296.0048,2970048,28
920,111,166,295.3479,2963479,20
1311,4,169,294.8717,2958717,28
1084,110,167,294.7473,2957473,18
1250,110,168,294.5101,2955101,20
1089,115,167,294.2359,2952359,18
597,115,164,293.4875,2944875,18
1088,114,167,292.3564,2933564,18
598,116,164,290.6275,2916275,20
1255,115,168,290.5964,2915964,18
2333,3,175,290.1357,2911357,34
2682,3,177,290.1347,2911347,34
2507,3,176,290.1347,2911347,34
3035,3,179,290.1327,2911327,32
2858,3,178,290.1327,2911327,32
3034,2,179,290.0606,2910606,42
1649,5,171,287.6516,2886516,28
1480,5,170,287.5786,2885786,26
756,111,165,287.498,2884980,20
1007,33,167,285.5368,2865368,16
1421,114,169,285.2882,2862882,18
677,32,165,283.7821,2847821,16
1256,116,168,282.7455,2837455,18
1478,3,170,282.3872,2833872,38
922,113,166,282.2043,2832043,18
595,113,164,280.9989,2819989,20
1087,113,167,280.6862,2816862,18
925,116,166,280.5719,2815719,18
1422,115,169,280.5627,2815627,18
759,114,165,280.4058,2814058,18
1175,35,168,280.0627,2810627,16
3037,5,179,279.711,2807110,28
926,117,166,279.4396,2804396,18
1090,116,167,279.3825,2803825,18
1144,4,168,278.8103,2798103,30
434,114,163,278.5591,2795591,24
1006,32,167,277.7144,2787144,16
913,104,166,277.0885,2780885,18
6,7,161,276.5669,2775669,20
10,11,161,275.8752,2768752,20
923,114,166,275.3191,2763191,18
2335,5,175,275.0398,2760398,26
842,33,166,272.9001,2739001,16
1173,33,168,272.5511,2735511,16
516,34,164,272.501,2735010,16
682,37,165,272.112,2731120,16
325,5,163,272.0869,2730869,30
354,34,163,271.8262,2728262,16
678,33,165,271.7938,2727938,16
519,37,164,271.742,2727420,16
1423,116,169,271.5503,2725503,18
433,113,163,271.5322,2725322,24
924,115,166,271.1291,2721291,18
927,118,166,271.0029,2720029,20
1252,112,168,270.9415,2719415,18
273,114,162,269.8442,2708442,24
1254,114,168,269.586,2705860,18
432,112,163,269.3551,2703551,22
272,113,162,267.6878,2686878,26
3215,5,180,267.3164,2683164,26
2684,5,177,267.0384,2680384,30
2509,5,176,267.0338,2680338,30
515,33,164,266.891,2678910,16
1340,33,169,266.7008,2677008,18
435,115,163,266.6816,2676816,20
1926,112,172,266.5101,2675101,16
355,35,163,265.6566,2666566,16
1757,113,171,265.641,2666410,16
2857,2,178,265.5865,2665865,44
1342,35,169,265.4317,2664317,16
762,117,165,265.3858,2663858,20
1310,3,169,265.366,2663660,38
1590,115,170,263.842,2648420,18
760,115,165,262.7244,2637244,18
172,13,162,262.7159,2637159,18
2860,5,178,262.4204,2634204,28
843,34,166,262.3635,2633635,16
979,5,167,261.3868,2623868,28
1172,32,168,261.3442,2623442,18
1171,31,168,261.3394,2623394,18
814,5,166,261.2492,2622492,28
1091,117,167,260.7041,2617041,18
191,32,162,260.3915,2613915,16
1253,113,168,259.9796,2609796,18
487,5,164,259.1834,2601834,30
1257,117,168,258.8435,2598435,18
845,36,166,258.374,2593740,16
1756,112,171,257.3411,2583411,16
1008,34,167,257.0522,2580522,16
1174,34,168,257.0522,2580522,16
194,35,162,256.4606,2574606,16
844,35,166,256.453,2574530,16
680,35,165,256.3845,2573845,16
118,119,161,256.2955,2572955,24
2332,2,175,256.1015,2571015,40
594,112,164,255.61290000000002,2566129,22
517,35,164,255.4722,2564722,16
356,36,163,255.45569999999998,2564557,16
278,119,162,255.03519999999997,2560352,24
978,4,167,255.0312,2560312,30
2681,2,177,255.0029,2560029,40
2,3,161,254.8976,2558976,38
1416,109,169,254.8532,2558532,20
2159,2,174,254.8196,2558196,42
1312,5,169,254.0272,2550272,28
1589,114,170,253.9162,2549162,16
439,119,163,253.2843,2542843,22
650,5,165,252.6708,2536708,30
