,fast_ma,slow_ma,profit,end_capital,number_of_trades
87,7,43,506.4232,5074232,96
46,7,42,491.8242,4928242,94
47,8,42,445.709,4467090,84
7,8,41,433.9317,4349317,84
6,7,41,412.7802,4137802,98
763,4,57,411.589,4125890,90
89,9,43,405.9604,4069604,82
48,9,42,394.5402,3955402,82
88,8,43,381.6724,3826724,90
131,9,44,369.7101,3707101,82
8,9,41,368.8217,3698217,82
130,8,44,366.3503,3673503,88
400,5,50,363.1464,3641464,94
174,9,45,359.7537,3607537,84
129,7,44,358.4938,3594938,98
499,5,52,357.6962,3586962,92
654,4,55,355.2872,3562872,94
0,1,41,349.064,3500640,206
449,5,51,348.1424,3491424,94
132,10,44,343.1703,3441703,82
396,1,50,342.7554,3437554,168
173,8,45,339.8639,3408639,94
708,4,56,336.3627,3373627,96
167,2,45,331.4639,3324639,148
401,6,50,328.7451,3297451,92
91,11,43,328.3613,3293613,80
211,2,46,327.7452,3287452,144
90,10,43,323.4579,3244579,80
175,10,45,323.1596,3241596,84
877,5,59,322.1871,3231871,84
9,10,41,320.6016,3216016,84
86,6,43,318.3453,3193453,106
50,11,42,317.3156,3183156,80
352,5,49,311.9236,3129236,94
166,1,45,310.7435,3117435,180
40,1,42,308.8737,3098737,198
302,2,48,306.6436,3076436,132
498,4,52,306.2683,3072683,98
263,9,47,306.0728,3070728,90
45,6,42,305.4133,3064133,98
81,1,43,304.8384,3058384,186
353,6,49,303.8148,3048148,92
82,2,43,303.4471,3044471,156
11,12,41,299.6166,3006166,84
94,14,43,296.5825,2975825,76
133,11,44,296.197,2971970,84
44,5,42,294.6385,2956385,108
820,5,58,293.8961,2948961,82
550,5,53,292.7796,2937796,90
123,1,44,292.7523,2937523,178
256,2,47,290.4337,2914337,136
10,11,41,289.3273,2903273,86
450,6,51,289.0855,2900855,92
602,5,54,287.7418,2887418,88
819,4,58,287.6361,2886361,88
5,6,41,286.1886,2871886,100
218,9,46,283.7087,2847087,90
85,5,43,283.6616,2846616,110
497,3,52,283.638,2846380,112
176,11,45,283.1495,2841495,80
51,12,42,280.6594,2816594,82
134,12,44,280.3643,2813643,78
217,8,46,279.3391,2803391,98
128,6,44,279.1069,2801069,108
49,10,42,278.2027,2792027,80
351,4,49,277.9632,2789632,100
549,4,53,274.2058,2752058,98
257,3,47,272.965,2739650,114
553,8,53,271.946,2729460,82
816,1,58,270.2155,2712155,152
601,4,54,266.6284,2676284,94
124,2,44,265.8002,2668002,150
501,7,52,265.3845,2663845,88
265,11,47,265.1002,2661002,82
178,13,45,263.7146,2647146,78
447,3,51,262.5136,2635136,108
655,5,55,262.2617,2632617,84
764,5,57,261.9432,2629432,84
83,3,43,261.4418,2624418,126
399,4,50,261.3641,2623641,100
177,12,45,260.345,2613450,80
41,2,42,258.6839,2596839,158
448,4,51,258.0434,2590434,98
306,6,48,257.3652,2583652,92
935,5,60,254.4056,2554056,86
220,11,46,254.4042,2554042,80
502,8,52,254.2514,2552514,86
210,1,46,254.0707,2550707,182
310,10,48,254.0291,2550291,86
259,5,47,253.9841,2549841,96
212,3,46,253.5886,2545886,126
303,3,48,253.5314,2545314,108
4,5,41,253.4046,2544046,104
1,2,41,252.5055,2535055,166
213,4,46,249.683,2506830,124
221,12,46,249.3835,2503835,80
354,7,49,248.8563,2498563,94
500,6,52,248.2724,2492724,92
258,4,47,248.2439,2492439,108
548,3,53,247.4009,2484009,104
445,1,51,247.2211,2482211,158
214,5,46,246.123,2471230,110
348,1,49,245.6645,2466645,176
762,3,57,244.7212,2457212,96
171,6,45,244.4204,2454204,112
350,3,49,241.0536,2420536,112
452,8,51,240.8572,2418572,88
547,2,53,239.4541,2404541,128
264,10,47,239.2797,2402797,86
84,4,43,239.1974,2401974,114
172,7,45,238.2022,2392022,102
605,8,54,238.1242,2391242,78
136,14,44,236.935,2379350,78
305,5,48,236.843,2378430,98
398,3,50,234.7395,2357395,108
127,5,44,234.6781,2356781,110
653,3,55,234.4826,2354826,104
261,7,47,233.8314,2348314,100
301,1,48,233.7143,2347143,182
52,13,42,233.6752,2346752,86
356,9,49,232.3096,2333096,90
179,14,45,230.1614,2311614,78
13,14,41,230.0472,2310472,84
402,7,50,229.3779,2303779,92
551,6,53,228.8951,2298951,88
309,9,48,228.0026,2290026,86
304,4,48,227.3527,2283527,104
874,2,59,226.9256,2279256,116
818,3,58,226.2049,2272049,98
817,2,58,226.1824,2271824,116
403,8,50,226.0367,2270367,86
766,7,57,225.0991,2260991,80
451,7,51,224.605,2256050,90
215,6,46,224.4052,2254052,102
767,8,57,222.9922,2239922,78
12,13,41,222.2973,2232973,82
934,4,60,221.8099,2228099,92
3,4,41,220.5127,2215127,126
875,3,59,220.3365,2213365,94
126,4,44,218.7878,2197878,120
125,3,44,218.0362,2190362,130
53,14,42,217.9737,2189737,82
135,13,44,217.6404,2186404,80
761,2,57,217.5587,2185587,122
92,12,43,217.4302,2184302,80
822,7,58,216.9499,2179499,76
307,7,48,216.7878,2177878,96
760,1,57,216.5444,2175444,152
349,2,49,216.2811,2172811,134
453,9,51,215.7712,2167712,84
933,3,60,214.7109,2157109,92
170,5,45,214.405,2154050,112
43,4,42,214.3592,2153592,124
255,1,47,214.084,2150840,178
169,4,45,213.716,2147160,124
823,8,58,211.372,2123720,74
216,7,46,211.1346,2121346,102
503,9,52,209.6777,2106777,84
219,10,46,208.3585,2093585,84
260,6,47,207.7084,2087084,96
932,2,60,207.3522,2083522,122
658,8,55,207.3218,2083218,80
446,2,51,205.945,2069450,134
